,movie_name,year,rating
0,The Shawshank Redemption,1994,9.3
1,The Godfather,1972,9.2
2,The Dark Knight,2008,9
3,The Godfather: Part II,1974,9
4,12 Angry Men,1957,9
5,The Lord of the Rings: The Return of the King,2003,9
6,Schindler's List,1993,9
7,Pulp Fiction,1994,8.9
8,The Lord of the Rings: The Fellowship of the Ring,2001,8.9
9,"Il Buono, Il Brutto, Il Cattivo",1966,8.8
10,Forrest Gump,1994,8.8
11,The Lord of the Rings: The Two Towers,2002,8.8
12,Fight Club,1999,8.8
13,Inception,2010,8.8
14,Star Wars: Episode V - The Empire Strikes Back,1980,8.7
15,The Matrix,1999,8.7
16,GoodFellas,1990,8.7
17,One Flew Over the Cuckoo's Nest,1975,8.7
18,Interstellar,2014,8.7
19,Se7en,1995,8.6
20,It's a Wonderful Life,1946,8.6
21,Shichinin No Samurai,1954,8.6
22,The Silence of the Lambs,1991,8.6
23,Saving Private Ryan,1998,8.6
24,City of God,2002,8.6
25,Life Is Beautiful,1997,8.6
26,The Green Mile,1999,8.6
27,Terminator 2: Judgment Day,1991,8.6
28,Star Wars: Episode IV - A New Hope,1977,8.6
29,Back to the Future,1985,8.5
30,Spirited Away,2001,8.6
31,The Pianist,2002,8.5
32,Parasite,2019,8.5
33,Psycho,1960,8.5
34,Gladiator,2000,8.5
35,The Lion King,1994,8.5
36,Spider-man: Across the Spider-verse,2023,8.6
37,The Departed,2006,8.5
38,Whiplash,2014,8.5
39,Grave of the Fireflies,1988,8.5
40,American History X,1998,8.5
41,Léon,1994,8.5
42,The Prestige,2006,8.5
43,Seppuku,1962,8.6
44,The Usual Suspects,1995,8.5
45,Casablanca,1942,8.5
46,Dune: Part Two,2024,8.5
47,Intouchables,2011,8.5
48,Cinema Paradiso,1988,8.5
49,Modern Times,1936,8.5
50,Alien,1979,8.5
51,Rear Window,1954,8.5
52,C'era Una Volta Il West,1968,8.5
53,Django Unchained,2012,8.5
54,City Lights,1931,8.5
55,Apocalypse Now,1979,8.4
56,Memento,2000,8.4
57,WALL·E,2008,8.4
